GEO,age_group,pop2019
Alberta,0 to 4 years,274355
Alberta,5 to 9 years,277117
Alberta,10 to 14 years,268395
Alberta,15 to 19 years,254877
Alberta,20 to 24 years,277814
Alberta,25 to 29 years,322348
Alberta,30 to 34 years,356080
Alberta,35 to 39 years,352392
Alberta,40 to 44 years,310907
Alberta,45 to 49 years,284912
Alberta,50 to 54 years,267626
Alberta,55 to 59 years,286198
Alberta,60 to 64 years,257898
Alberta,65 to 69 years,198601
Alberta,70 to 74 years,147896
Alberta,75 to 79 years,98084
Alberta,80 to 84 years,65905
Alberta,85 to 89 years,43176
Alberta,90 to 94 years,20012
Alberta,95 to 99 years,5796
Alberta,100 years and over,927
British Columbia,0 to 4 years,227118
British Columbia,5 to 9 years,241803
British Columbia,10 to 14 years,244657
British Columbia,15 to 19 years,277122
British Columbia,20 to 24 years,336531
British Columbia,25 to 29 years,354021
British Columbia,30 to 34 years,366111
British Columbia,35 to 39 years,351725
British Columbia,40 to 44 years,315716
British Columbia,45 to 49 years,330697
British Columbia,50 to 54 years,345770
British Columbia,55 to 59 years,377943
British Columbia,60 to 64 years,354060
British Columbia,65 to 69 years,305446
British Columbia,70 to 74 years,246972
British Columbia,75 to 79 years,166322
British Columbia,80 to 84 years,110843
British Columbia,85 to 89 years,71831
British Columbia,90 to 94 years,34153
British Columbia,95 to 99 years,10811
British Columbia,100 years and over,1684
Canada,0 to 4 years,1943175
Canada,5 to 9 years,2039352
Canada,10 to 14 years,2031762
Canada,15 to 19 years,2114635
Canada,20 to 24 years,2476698
Canada,25 to 29 years,2625474
Canada,30 to 34 years,2603938
Canada,35 to 39 years,2580021
Canada,40 to 44 years,2421009
Canada,45 to 49 years,2396406
Canada,50 to 54 years,2502667
Canada,55 to 59 years,2749626
Canada,60 to 64 years,2511888
Canada,65 to 69 years,2096607
Canada,70 to 74 years,1706760
Canada,75 to 79 years,1164277
Canada,80 to 84 years,786704
Canada,85 to 89 years,510828
Canada,90 to 94 years,242554
Canada,95 to 99 years,74086
Canada,100 years and over,10795
Manitoba,0 to 4 years,86184
Manitoba,5 to 9 years,88473
Manitoba,10 to 14 years,84455
Manitoba,15 to 19 years,87834
Manitoba,20 to 24 years,96457
Manitoba,25 to 29 years,98926
Manitoba,30 to 34 years,97477
Manitoba,35 to 39 years,93248
Manitoba,40 to 44 years,85485
Manitoba,45 to 49 years,82440
Manitoba,50 to 54 years,81825
Manitoba,55 to 59 years,90670
Manitoba,60 to 64 years,81675
Manitoba,65 to 69 years,68689
Manitoba,70 to 74 years,54316
Manitoba,75 to 79 years,36807
Manitoba,80 to 84 years,25338
Manitoba,85 to 89 years,16860
Manitoba,90 to 94 years,8765
Manitoba,95 to 99 years,3020
Manitoba,100 years and over,521
New Brunswick,0 to 4 years,34313
New Brunswick,5 to 9 years,38251
New Brunswick,10 to 14 years,39479
New Brunswick,15 to 19 years,41021
New Brunswick,20 to 24 years,42993
New Brunswick,25 to 29 years,43915
New Brunswick,30 to 34 years,44022
New Brunswick,35 to 39 years,46515
New Brunswick,40 to 44 years,48201
New Brunswick,45 to 49 years,52087
New Brunswick,50 to 54 years,55922
New Brunswick,55 to 59 years,63374
New Brunswick,60 to 64 years,61310
New Brunswick,65 to 69 years,53983
New Brunswick,70 to 74 years,44758
New Brunswick,75 to 79 years,29097
New Brunswick,80 to 84 years,18731
New Brunswick,85 to 89 years,11512
New Brunswick,90 to 94 years,5291
New Brunswick,95 to 99 years,1767
New Brunswick,100 years and over,285
Newfoundland and Labrador,0 to 4 years,21231
Newfoundland and Labrador,5 to 9 years,24039
Newfoundland and Labrador,10 to 14 years,25928
Newfoundland and Labrador,15 to 19 years,27310
Newfoundland and Labrador,20 to 24 years,28455
Newfoundland and Labrador,25 to 29 years,28561
Newfoundland and Labrador,30 to 34 years,28652
Newfoundland and Labrador,35 to 39 years,30412
Newfoundland and Labrador,40 to 44 years,31928
Newfoundland and Labrador,45 to 49 years,36729
Newfoundland and Labrador,50 to 54 years,40991
Newfoundland and Labrador,55 to 59 years,43154
Newfoundland and Labrador,60 to 64 years,42234
Newfoundland and Labrador,65 to 69 years,39110
Newfoundland and Labrador,70 to 74 years,31391
Newfoundland and Labrador,75 to 79 years,19283
Newfoundland and Labrador,80 to 84 years,11986
Newfoundland and Labrador,85 to 89 years,6535
Newfoundland and Labrador,90 to 94 years,2677
Newfoundland and Labrador,95 to 99 years,799
Newfoundland and Labrador,100 years and over,137
Nova Scotia,0 to 4 years,43220
Nova Scotia,5 to 9 years,46270
Nova Scotia,10 to 14 years,47157
Nova Scotia,15 to 19 years,51479
Nova Scotia,20 to 24 years,61895
Nova Scotia,25 to 29 years,62940
Nova Scotia,30 to 34 years,59345
Nova Scotia,35 to 39 years,57584
Nova Scotia,40 to 44 years,56509
Nova Scotia,45 to 49 years,61717
Nova Scotia,50 to 54 years,67503
Nova Scotia,55 to 59 years,79173
Nova Scotia,60 to 64 years,74902
Nova Scotia,65 to 69 years,64865
Nova Scotia,70 to 74 years,54809
Nova Scotia,75 to 79 years,35855
Nova Scotia,80 to 84 years,23432
Nova Scotia,85 to 89 years,13986
Nova Scotia,90 to 94 years,6313
Nova Scotia,95 to 99 years,2085
Nova Scotia,100 years and over,356
Northwest Territories,0 to 4 years,3064
Northwest Territories,5 to 9 years,3048
Northwest Territories,10 to 14 years,2921
Northwest Territories,15 to 19 years,2822
Northwest Territories,20 to 24 years,3045
Northwest Territories,25 to 29 years,3749
Northwest Territories,30 to 34 years,3652
Northwest Territories,35 to 39 years,3445
Northwest Territories,40 to 44 years,3147
Northwest Territories,45 to 49 years,3043
Northwest Territories,50 to 54 years,3312
Northwest Territories,55 to 59 years,3265
Northwest Territories,60 to 64 years,2594
Northwest Territories,65 to 69 years,1656
Northwest Territories,70 to 74 years,982
Northwest Territories,75 to 79 years,549
Northwest Territories,80 to 84 years,294
Northwest Territories,85 to 89 years,153
Northwest Territories,90 to 94 years,62
Northwest Territories,95 to 99 years,19
Northwest Territories,100 years and over,4
Nunavut,0 to 4 years,4248
Nunavut,5 to 9 years,4289
Nunavut,10 to 14 years,3811
Nunavut,15 to 19 years,3267
Nunavut,20 to 24 years,3052
Nunavut,25 to 29 years,3273
Nunavut,30 to 34 years,3109
Nunavut,35 to 39 years,2672
Nunavut,40 to 44 years,2201
Nunavut,45 to 49 years,2218
Nunavut,50 to 54 years,2257
Nunavut,55 to 59 years,1740
Nunavut,60 to 64 years,1095
Nunavut,65 to 69 years,675
Nunavut,70 to 74 years,455
Nunavut,75 to 79 years,229
Nunavut,80 to 84 years,116
Nunavut,85 to 89 years,48
Nunavut,90 to 94 years,18
Nunavut,95 to 99 years,5
Nunavut,100 years and over,2
Ontario,0 to 4 years,728255
Ontario,5 to 9 years,764053
Ontario,10 to 14 years,787869
Ontario,15 to 19 years,861516
Ontario,20 to 24 years,1035287
Ontario,25 to 29 years,1050412
Ontario,30 to 34 years,1009817
Ontario,35 to 39 years,965953
Ontario,40 to 44 years,915068
Ontario,45 to 49 years,941055
Ontario,50 to 54 years,991445
Ontario,55 to 59 years,1068094
Ontario,60 to 64 years,937761
Ontario,65 to 69 years,778647
Ontario,70 to 74 years,644425
Ontario,75 to 79 years,444319
Ontario,80 to 84 years,311137
Ontario,85 to 89 years,201296
Ontario,90 to 94 years,96675
Ontario,95 to 99 years,29701
Ontario,100 years and over,3762
Prince Edward Island,0 to 4 years,7455
Prince Edward Island,5 to 9 years,8306
Prince Edward Island,10 to 14 years,8772
Prince Edward Island,15 to 19 years,9184
Prince Edward Island,20 to 24 years,10624
Prince Edward Island,25 to 29 years,9808
Prince Edward Island,30 to 34 years,8880
Prince Edward Island,35 to 39 years,9253
Prince Edward Island,40 to 44 years,9495
Prince Edward Island,45 to 49 years,10336
Prince Edward Island,50 to 54 years,10574
Prince Edward Island,55 to 59 years,12035
Prince Edward Island,60 to 64 years,11241
Prince Edward Island,65 to 69 years,10032
Prince Edward Island,70 to 74 years,8675
Prince Edward Island,75 to 79 years,5344
Prince Edward Island,80 to 84 years,3567
Prince Edward Island,85 to 89 years,2109
Prince Edward Island,90 to 94 years,925
Prince Edward Island,95 to 99 years,281
Prince Edward Island,100 years and over,51
Quebec,0 to 4 years,433857
Quebec,5 to 9 years,463229
Quebec,10 to 14 years,441575
Quebec,15 to 19 years,424486
Quebec,20 to 24 years,503015
Quebec,25 to 29 years,563583
Quebec,30 to 34 years,536815
Quebec,35 to 39 years,578990
Quebec,40 to 44 years,565658
Quebec,45 to 49 years,521415
Quebec,50 to 54 years,564948
Quebec,55 to 59 years,642265
Quebec,60 to 64 years,610417
Quebec,65 to 69 years,513602
Quebec,70 to 74 years,426341
Quebec,75 to 79 years,296603
Quebec,80 to 84 years,192230
Quebec,85 to 89 years,127255
Quebec,90 to 94 years,59247
Quebec,95 to 99 years,16875
Quebec,100 years and over,2559
Saskatchewan,0 to 4 years,77513
Saskatchewan,5 to 9 years,78079
Saskatchewan,10 to 14 years,74591
Saskatchewan,15 to 19 years,71675
Saskatchewan,20 to 24 years,75192
Saskatchewan,25 to 29 years,81054
Saskatchewan,30 to 34 years,86608
Saskatchewan,35 to 39 years,84448
Saskatchewan,40 to 44 years,73807
Saskatchewan,45 to 49 years,66936
Saskatchewan,50 to 54 years,67715
Saskatchewan,55 to 59 years,78454
Saskatchewan,60 to 64 years,73693
Saskatchewan,65 to 69 years,59130
Saskatchewan,70 to 74 years,44300
Saskatchewan,75 to 79 years,31005
Saskatchewan,80 to 84 years,22676
Saskatchewan,85 to 89 years,15843
Saskatchewan,90 to 94 years,8340
Saskatchewan,95 to 99 years,2899
Saskatchewan,100 years and over,504
Yukon,0 to 4 years,2362
Yukon,5 to 9 years,2395
Yukon,10 to 14 years,2152
Yukon,15 to 19 years,2042
Yukon,20 to 24 years,2338
Yukon,25 to 29 years,2884
Yukon,30 to 34 years,3370
Yukon,35 to 39 years,3384
Yukon,40 to 44 years,2887
Yukon,45 to 49 years,2821
Yukon,50 to 54 years,2779
Yukon,55 to 59 years,3261
Yukon,60 to 64 years,3008
Yukon,65 to 69 years,2171
Yukon,70 to 74 years,1440
Yukon,75 to 79 years,780
Yukon,80 to 84 years,449
Yukon,85 to 89 years,224
Yukon,90 to 94 years,76
Yukon,95 to 99 years,28
Yukon,100 years and over,3
